grafana,1.16%,79.05MiB / 30.25GiB,57kB / 102kB
myservice,10.45%,631.5MiB / 30.25GiB,2.1MB / 3.24MB
backend-b-1,0.10%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,9.28%,360.6MiB / 30.25GiB,676kB / 697kB
node-exporter,0.00%,13.03MiB / 30.25GiB,50.9kB / 982kB
prometheus,0.05%,65.86MiB / 30.25GiB,2.19MB / 3.03MB
grafana,1.33%,79.05MiB / 30.25GiB,57.1kB / 102kB
myservice,0.13%,631.4MiB / 30.25GiB,2.19MB / 3.33MB
backend-b-1,0.15%,283.2MiB / 30.25GiB,3.62kB / 2.24kB
backend-a-1,0.17%,362.5MiB / 30.25GiB,707kB / 729kB
node-exporter,1.59%,13.03MiB / 30.25GiB,51.7kB / 996kB
