node-exporter,0.00%,12.14MiB / 30.25GiB,21.5kB / 395kB
prometheus,0.00%,62.17MiB / 30.25GiB,880kB / 2.97MB
dazzling_dirac,0.10%,1.08GiB / 30.25GiB,3.73MB / 3.51MB
grafana,1.17%,78.18MiB / 30.25GiB,83.5kB / 156kB
myservice,0.13%,807.2MiB / 30.25GiB,3.76MB / 4.54MB
backend-a-1,0.15%,381MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.12%,266.6MiB / 30.25GiB,2.15kB / 1.02kB
node-exporter,0.00%,12.17MiB / 30.25GiB,22.2kB / 410kB
prometheus,0.00%,62.21MiB / 30.25GiB,913kB / 2.97MB
dazzling_dirac,0.13%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.42%,78.3MiB / 30.25GiB,83.9kB / 156kB
myservice,0.73%,807.4MiB / 30.25GiB,3.76MB / 4.56MB
backend-a-1,0.16%,385.3MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.13%,266.5MiB / 30.25GiB,2.3kB / 1.02kB
node-exporter,0.45%,12.45MiB / 30.25GiB,22.7kB / 410kB
prometheus,1.26%,62.34MiB / 30.25GiB,946kB / 2.97MB
dazzling_dirac,0.14%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.24%,78.18MiB / 30.25GiB,84.2kB / 157kB
myservice,0.14%,807.3MiB / 30.25GiB,3.76MB / 4.56MB
backend-a-1,0.35%,381.6MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.15%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.3MiB / 30.25GiB,22.9kB / 425kB
prometheus,0.10%,62.34MiB / 30.25GiB,946kB / 2.97MB
dazzling_dirac,0.11%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.18%,78.18MiB / 30.25GiB,84.3kB / 157kB
myservice,0.14%,807.3MiB / 30.25GiB,3.76MB / 4.58MB
backend-a-1,0.13%,381.6MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.24%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.41MiB / 30.25GiB,23.7kB / 439kB
prometheus,0.00%,62.4MiB / 30.25GiB,980kB / 2.97MB
dazzling_dirac,0.10%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.24%,78.19MiB / 30.25GiB,84.3kB / 157kB
myservice,0.13%,807.3MiB / 30.25GiB,3.76MB / 4.58MB
backend-a-1,0.12%,381.6MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.16%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,1.81%,13.2MiB / 30.25GiB,24.4kB / 454kB
prometheus,0.00%,62.39MiB / 30.25GiB,980kB / 2.97MB
dazzling_dirac,0.15%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.35%,78.19MiB / 30.25GiB,84.3kB / 157kB
myservice,0.11%,807.3MiB / 30.25GiB,3.76MB / 4.6MB
backend-a-1,0.17%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.15%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,13.12MiB / 30.25GiB,24.4kB / 454kB
prometheus,0.00%,62.43MiB / 30.25GiB,1.01MB / 2.97MB
dazzling_dirac,0.14%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.24%,78.19MiB / 30.25GiB,84.7kB / 157kB
myservice,0.21%,807.6MiB / 30.25GiB,3.76MB / 4.62MB
backend-a-1,0.11%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.13%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.47MiB / 30.25GiB,25.1kB / 469kB
prometheus,0.65%,62.45MiB / 30.25GiB,1.05MB / 2.98MB
dazzling_dirac,0.13%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.33%,78.19MiB / 30.25GiB,85.1kB / 158kB
myservice,0.21%,807.6MiB / 30.25GiB,3.76MB / 4.62MB
backend-a-1,0.16%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.15%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.47MiB / 30.25GiB,25.1kB / 469kB
prometheus,0.08%,62.45MiB / 30.25GiB,1.05MB / 2.98MB
dazzling_dirac,0.12%,1.08GiB / 30.25GiB,3.73MB / 3.52MB
grafana,1.25%,78.19MiB / 30.25GiB,85.2kB / 158kB
myservice,0.15%,807.6MiB / 30.25GiB,3.76MB / 4.63MB
backend-a-1,0.13%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.14%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.36MiB / 30.25GiB,25.9kB / 483kB
prometheus,2.70%,62.86MiB / 30.25GiB,1.08MB / 2.98MB
dazzling_dirac,0.09%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.16%,78.2MiB / 30.25GiB,85.2kB / 158kB
myservice,0.46%,807.6MiB / 30.25GiB,3.76MB / 4.65MB
backend-a-1,0.11%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.14%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,1.70%,12.44MiB / 30.25GiB,26.6kB / 498kB
prometheus,1.23%,62.79MiB / 30.25GiB,1.11MB / 2.98MB
dazzling_dirac,0.14%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.32%,78.2MiB / 30.25GiB,85.4kB / 158kB
myservice,0.13%,807.6MiB / 30.25GiB,3.76MB / 4.65MB
backend-a-1,0.20%,381.5MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.24%,266.5MiB / 30.25GiB,2.34kB / 1.07kB
node-exporter,0.00%,12.44MiB / 30.25GiB,26.6kB / 498kB
prometheus,0.00%,62.54MiB / 30.25GiB,1.11MB / 2.98MB
dazzling_dirac,0.14%,1.08GiB / 30.25GiB,3.73MB / 3.53MB
grafana,1.09%,78.2MiB / 30.25GiB,85.8kB / 158kB
