# --- TEST_START: 1746951002 ---
cool_tesla,0.12%,1.743GiB / 30.25GiB,4.59MB / 4.27MB
grafana,1.08%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.07%,61.42MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,0.12%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.61%,433.9MiB / 30.25GiB,267kB / 6.24MB
backend-b-1,0.13%,648.2MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,14.9MiB / 30.25GiB,264kB / 5.2MB
cool_tesla,0.13%,1.743GiB / 30.25GiB,4.59MB / 4.27MB
grafana,1.18%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.02%,61.41MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.10%,433.9MiB / 30.25GiB,267kB / 6.24MB
backend-b-1,0.11%,654.8MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,1.92%,14.83MiB / 30.25GiB,265kB / 5.22MB
cool_tesla,0.11%,1.743GiB / 30.25GiB,4.59MB / 4.27MB
grafana,1.25%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.00%,61.41MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,0.11%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.10%,433.9MiB / 30.25GiB,268kB / 6.25MB
backend-b-1,0.12%,654.8MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,14.83MiB / 30.25GiB,265kB / 5.22MB
cool_tesla,0.12%,1.743GiB / 30.25GiB,4.59MB / 4.27MB
grafana,1.25%,84.55MiB / 30.25GiB,66.5kB / 100kB
prometheus,0.73%,61.42MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,0.14%,713.6MiB / 30.25GiB,42.6MB / 52MB
myservice,0.42%,433.9MiB / 30.25GiB,269kB / 6.27MB
backend-b-1,0.15%,654.8MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.6MiB / 30.25GiB,265kB / 5.23MB
cool_tesla,0.14%,1.742GiB / 30.25GiB,4.59MB / 4.27MB
grafana,4.86%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.31%,61.41MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,3.25%,703.9MiB / 30.25GiB,42.6MB / 52MB
myservice,0.12%,433.9MiB / 30.25GiB,269kB / 6.27MB
backend-b-1,0.27%,654.1MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.6MiB / 30.25GiB,265kB / 5.23MB
cool_tesla,0.11%,1.742GiB / 30.25GiB,4.59MB / 4.27MB
grafana,1.27%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.00%,61.43MiB / 30.25GiB,11.5MB / 3.45MB
backend-a-1,0.11%,703.5MiB / 30.25GiB,42.6MB / 52MB
myservice,0.12%,433.9MiB / 30.25GiB,269kB / 6.29MB
backend-b-1,0.11%,654.1MiB / 30.25GiB,36.9MB / 39.9MB
node-exporter,0.00%,15.09MiB / 30.25GiB,266kB / 5.25MB
cool_tesla,131.71%,1.944GiB / 30.25GiB,8.8MB / 8.13MB
grafana,1.42%,84.63MiB / 30.25GiB,71.9kB / 103kB
prometheus,0.41%,61.42MiB / 30.25GiB,11.6MB / 3.46MB
